HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0000592	OG0000111	n11	XP_057376039.1, XP_057374921.1, XP_057376042.1	CAH0099475.1, CAH0099473.1, CAH0099471.1, CAH0099476.1, CAH0099474.1	XP_032798053.2, XP_032786007.2, XP_045029547.1, XP_045029548.1	Daphnia02830-RA, Daphnia02828-RA	XP_046451537.1, XP_046451535.1, XP_046451536.1	XP_046651129.1, XP_046649276.1, XP_046650508.1, XP_046651732.1	KAI9554587.1
N0.HOG0000593	OG0000112	n0	XP_057376568.1	CAH0101988.1	XP_032789490.2	Daphnia05414-RA	XP_046449261.1, XP_046448757.1, XP_046448756.1, XP_046448741.1, XP_046448744.1, XP_046448754.1, XP_046448751.1, XP_046448755.1, XP_046448759.1, XP_046448748.1, XP_046448742.1, XP_046448752.1, XP_046448760.1, XP_046448749.1, XP_046448745.1, XP_046448753.1, XP_046448746.1, XP_046448758.1, XP_046448761.1, XP_046448763.1, XP_046448762.1, XP_046448743.1, XP_046448830.1, XP_046448747.1	XP_046642662.1, XP_046640578.1, XP_046640579.1, XP_046640577.1	KAI9563648.1
N0.HOG0000594	OG0000113	n1	XP_057378700.1, XP_057378824.1, XP_057378714.1	CAH0103125.1, CAH0102948.1	XP_045023594.1, XP_045033569.1, XP_045034229.1, XP_045023596.1, XP_045023583.1, XP_045033567.1, XP_045034228.1, XP_032791458.2, XP_032791459.2	Daphnia04512-RA	XP_046449413.1	XP_046636719.1	KAI9552098.1, KAI9552097.1, KAI9552096.1
N0.HOG0000595	OG0000113	n20	XP_057378702.1	CAH0108131.1	XP_045034227.1	Daphnia08594-RD	XP_046444216.1, XP_046444219.1, XP_046444220.1, XP_046444218.1	XP_046631314.1, XP_046631302.1, XP_046631319.1, XP_046631308.1	KAI9552095.1
N0.HOG0000596	OG0000114	n1	XP_057379218.1		XP_032791579.2, XP_032791580.2	Daphnia08896-RA	XP_046445457.1	XP_046632342.1	KAI9551370.1, KAI9551350.1
N0.HOG0000597	OG0000114	n8	XP_057379041.1, XP_057379042.1	CAH0101445.1	XP_032792735.1, XP_045034466.1, XP_045034469.1	Daphnia08526-RA	XP_046444387.1, XP_046444383.1, XP_046444385.1, XP_046444386.1, XP_046444382.1, XP_046444381.1, XP_046444384.1, XP_046444379.1	XP_046632277.1, XP_046631123.1, XP_046631122.1, XP_046631127.1, XP_046631126.1, XP_046631125.1, XP_046631128.1, XP_046631119.1	KAI9551659.1, KAI9551658.1
N0.HOG0000598	OG0000115	n0	XP_057367233.1, XP_057371835.1, XP_057372751.1, XP_057371834.1, XP_057371833.1	CAH0098718.1	XP_045033935.1, XP_045035337.1, XP_045032436.1, XP_045030834.1, XP_045030855.1, XP_045030932.1, XP_045030943.1, XP_045030949.1, XP_045030876.1, XP_045030842.1, XP_045031613.1, XP_045031585.1, XP_045031137.1, XP_045031178.1, XP_045023867.1, XP_045023863.1, XP_045031489.1, XP_045031491.1, XP_045031490.1, XP_045023860.1				KAI9561296.1, KAI9561374.1, KAI9561375.1, KAI9561329.1, KAI9561343.1, KAI9561344.1
N0.HOG0000599	OG0000116	n2		CAH0107253.1, CAH0103270.1	XP_032784717.2, XP_032785306.2, XP_032785307.2		XP_046461534.1, XP_046449216.1	XP_046642676.1	KAI9554165.1
N0.HOG0000600	OG0000116	n10	XP_057376163.1		XP_032785296.1		XP_046450688.1, XP_046452378.1, XP_046452381.1, XP_046452406.1	XP_046637746.1, XP_046651804.1	KAI9563032.1, KAI9554154.1
N0.HOG0000601	OG0000116	n19	XP_057368511.1, XP_057367455.1, XP_057368439.1	CAH0110643.1	XP_032783908.2, XP_032791111.2, XP_032798070.1, XP_032798071.1		XP_046456182.1	XP_046638637.1	KAI9558733.1, KAI9562788.1, KAI9559228.1
N0.HOG0000602	OG0000117	n1					XP_046454485.1	XP_046651041.1	
N0.HOG0000603	OG0000117	n6		CAH0110318.1, CAH0105902.1	XP_045029924.1, XP_045028239.1, XP_045024485.1, XP_045028173.1				KAI9556056.1, KAI9553806.1
N0.HOG0000604	OG0000117	n13		CAH0107484.1, CAH0111271.1, CAH0105108.1, CAH0111642.1	XP_045030195.1				
N0.HOG0000605	OG0000117	n18		CAH0100523.1, CAH0098843.1	XP_045034865.1				
N0.HOG0000606	OG0000117	n20	XP_057368169.1	CAH0101773.1, CAH0106976.1	XP_045035034.1				
N0.HOG0000607	OG0000117	n23	XP_057367500.1	CAH0110751.1, CAH0110752.1, CAH0105107.1, CAH0105461.1	XP_045035766.1				KAI9558484.1
N0.HOG0000608	OG0000117	n29		CAH0105462.1	XP_032791483.2, XP_045028559.1				
N0.HOG0000609	OG0000118	n1	XP_057368437.1	CAH0112999.1, CAH0112996.1, CAH0110649.1	XP_045028506.1, XP_045028505.1	Daphnia13790-RA, Daphnia00655-RA, Daphnia00675-RA	XP_046459060.1	XP_046638292.1	KAI9559226.1
N0.HOG0000610	OG0000118	n14	XP_057374416.1	CAH0108289.1		Daphnia06507-RA	XP_046438916.1		KAI9557000.1
N0.HOG0000611	OG0000118	n18		CAH0099354.1		Daphnia05374-RA	XP_046447934.1	XP_046640972.1	KAI9563396.1
N0.HOG0000612	OG0000118	n22	XP_057367964.1	CAH0112998.1, CAH0113004.1, CAH0103430.1, CAH0103437.1		Daphnia01751-RA, Daphnia00918-RA	XP_046457581.1	XP_046648379.1	KAI9562629.1
N0.HOG0000613	OG0000119	n1	XP_057369960.1	CAH0098372.1	XP_032777155.2	Daphnia12190-RA	XP_046447217.1	XP_046635991.1	KAI9565911.1
N0.HOG0000614	OG0000119	n8		CAH0098391.1, CAH0103994.1, CAH0103993.1		Daphnia12125-RA	XP_046447035.1	XP_046635995.1, XP_046635994.1	
N0.HOG0000615	OG0000119	n15	XP_057369794.1	CAH0103990.1	XP_045025959.1				KAI9566009.1
N0.HOG0000616	OG0000119	n18	XP_057369973.1	CAH0102497.1, CAH0102496.1, CAH0102495.1	XP_032776413.2	Daphnia12167-RA, Daphnia12166-RA, Daphnia12164-RA	XP_046446871.1, XP_046446907.1, XP_046446905.1	XP_046653366.1, XP_046635714.1	KAI9566014.1
N0.HOG0000617	OG0000120	n1	XP_057375615.1	CAH0107127.1	XP_045023134.1, XP_032786140.2		XP_046452612.1, XP_046452610.1, XP_046452603.1, XP_046452606.1, XP_046452604.1, XP_046452605.1, XP_046452611.1	XP_046637486.1, XP_046637488.1, XP_046637487.1	
N0.HOG0000618	OG0000120	n16	XP_057375624.1	CAH0107129.1	XP_032786141.2, XP_045029802.1		XP_046452614.1	XP_046637490.1	KAI9554665.1
N0.HOG0000619	OG0000120	n22	XP_057375625.1	CAH0107128.1	XP_045029806.1, XP_045023129.1, XP_032786142.2, XP_045023128.1		XP_046452615.1	XP_046637491.1	
N0.HOG0000620	OG0000120	n29	XP_057375618.1		XP_032786134.2, XP_045023123.1				
N0.HOG0000621	OG0000121	n1	XP_057380130.1	CAH0102385.1					
N0.HOG0000622	OG0000121	n2	XP_057379978.1, XP_057379979.1, XP_057379977.1, XP_057379975.1, XP_057379976.1, XP_057379981.1, XP_057379980.1, XP_057379982.1	CAH0102383.1, CAH0102387.1	XP_045028081.1, XP_045028067.1, XP_045028066.1, XP_045028083.1, XP_032782617.2, XP_045028082.1, XP_045028080.1, XP_045028068.1, XP_045028084.1, XP_045023263.1, XP_045028073.1, XP_045028072.1, XP_032782619.2, XP_032782070.2, XP_045028085.1, XP_045029147.1		XP_046457402.1	XP_046648658.1	KAI9558313.1, KAI9558311.1
N0.HOG0000623	OG0000122	n2		CAH0106975.1	XP_045029959.1, XP_045029821.1, XP_045023088.1		XP_046450039.1		KAI9565536.1
N0.HOG0000624	OG0000122	n7		CAH0101772.1, CAH0099883.1	XP_045026612.1, XP_045029870.1, XP_045029923.1, XP_045024774.1, XP_045028558.1, XP_045026439.1, XP_045036825.1, XP_045036816.1				
N0.HOG0000625	OG0000122	n18				Daphnia01797-RA			KAI9565232.1, KAI9565301.1, KAI9551150.1
N0.HOG0000626	OG0000122	n21				Daphnia02146-RA			KAI9551308.1, KAI9562480.1
N0.HOG0000627	OG0000122	n24		CAH0106312.1	XP_032795100.1				
N0.HOG0000628	OG0000122	n25		CAH0098915.1, CAH0104783.1, CAH0111718.1	XP_045034604.1, XP_045023433.1	Daphnia06826-RA			KAI9565054.1
N0.HOG0000629	OG0000123	n1	XP_057368539.1	CAH0106582.1, CAH0106842.1, CAH0106852.1		Daphnia08290-RA, Daphnia01141-RA	XP_046445079.1, XP_046459927.1	XP_046647202.1	KAI9558745.1
N0.HOG0000630	OG0000123	n10	XP_057379087.1, XP_057365167.1	CAH0102078.1, CAH0111131.1, CAH0111133.1, CAH0107875.1, CAH0102238.1, CAH0107878.1, CAH0106127.1	XP_045030488.1, XP_045030489.1, XP_032784622.2, XP_032794105.1	Daphnia00058-RA	XP_046457173.1, XP_046445084.1	XP_046646212.1, XP_046646243.1, XP_046632257.1, XP_046631681.1	KAI9551607.1
N0.HOG0000631	OG0000124	n0	XP_057379665.1, XP_057374966.1, XP_057365484.1, XP_057376183.1, XP_057377031.1, XP_057380495.1, XP_057378535.1, XP_057373310.1, XP_057379666.1, XP_057376552.1, XP_057379622.1, XP_057377920.1		XP_032798188.2, XP_032798017.1, XP_045023818.1, XP_045023031.1, XP_045023635.1, XP_045023944.1, XP_032781178.1, XP_032786395.1, XP_045024344.1, XP_045034627.1, XP_032791646.1, XP_045022890.1, XP_032798385.2, XP_045025109.1		XP_046461436.1, XP_046438869.1	XP_046644739.1	KAI9558404.1, KAI9565078.1
N0.HOG0000632	OG0000125	n1	XP_057377309.1, XP_057377314.1, XP_057377313.1, XP_057377315.1, XP_057373629.1, XP_057377312.1, XP_057373628.1	CAH0110791.1, CAH0110789.1	XP_032798268.2		XP_046441292.1	XP_046637597.1, XP_046637598.1	KAI9561520.1, KAI9561521.1
N0.HOG0000633	OG0000125	n15	XP_057373635.1, XP_057366177.1, XP_057377317.1	CAH0112293.1, CAH0105576.1	XP_032798284.2, XP_032798277.2		XP_046442878.1, XP_046442879.1	XP_046639839.1, XP_046637592.1, XP_046637595.1, XP_046637594.1, XP_046637591.1, XP_046637593.1	KAI9561522.1
N0.HOG0000634	OG0000126	n0	XP_057370240.1	CAH0099664.1, CAH0106126.1, CAH0107877.1, CAH0102237.1, CAH0107282.1, CAH0108820.1, CAH0107893.1, CAH0099816.1, CAH0099952.1, CAH0105758.1, CAH0109868.1, CAH0100629.1, CAH0099662.1, CAH0110878.1	XP_032776383.2		XP_046439714.1, XP_046439713.1, XP_046462667.1, XP_046442922.1, XP_046442921.1, XP_046462531.1, XP_046441828.1	XP_046656216.1, XP_046656680.1, XP_046654583.1, XP_046636257.1, XP_046654309.1, XP_046656341.1, XP_046634581.1	KAI9566033.1
N0.HOG0000635	OG0000127	n1	XP_057372412.1, XP_057372411.1, XP_057372414.1		XP_032799524.2, XP_045036458.1, XP_045036468.1, XP_045031222.1, XP_045033309.1, XP_045033305.1	Daphnia13243-RA		XP_046634056.1	KAI9561021.1, KAI9561068.1
N0.HOG0000636	OG0000127	n15	XP_057372420.1	CAH0108750.1			XP_046461744.1	XP_046634053.1, XP_046653170.1	KAI9561073.1
N0.HOG0000637	OG0000127	n20				Daphnia13241-RA			KAI9565120.1
N0.HOG0000638	OG0000127	n21	XP_057372419.1, XP_057372418.1, XP_057372421.1, XP_057372422.1		XP_032790168.2, XP_045033330.1, XP_032799470.2				KAI9561020.1, KAI9561071.1, KAI9561074.1
N0.HOG0000639	OG0000128	n0	XP_057373584.1	CAH0110046.1, CAH0110048.1, CAH0110049.1	XP_045030921.1	Daphnia05815-RA, Daphnia05820-RB	XP_046439830.1, XP_046439833.1, XP_046439832.1	XP_046634869.1, XP_046635433.1, XP_046635406.1, XP_046635439.1, XP_046635432.1, XP_046635424.1, XP_046635416.1, XP_046635411.1, XP_046635438.1, XP_046635440.1, XP_046635474.1, XP_046635435.1, XP_046635459.1, XP_046635431.1, XP_046635451.1, XP_046635443.1, XP_046635467.1, XP_046635397.1, XP_046635436.1, XP_046635437.1	KAI9556485.1
N0.HOG0000640	OG0000129	n0	XP_057374510.1, XP_057374511.1	CAH0112798.1, CAH0099292.1, CAH0112799.1	XP_032797933.2, XP_045026908.1, XP_045023666.1, XP_045026907.1	Daphnia04043-RC, Daphnia04055-RA, Daphnia04054-RA, Daphnia04056-RB, Daphnia03833-RB, Daphnia04044-RA	XP_046454994.1, XP_046454985.1, XP_046437916.1, XP_046437915.1, XP_046456076.1, XP_046456091.1, XP_046462897.1	XP_046651275.1, XP_046651272.1, XP_046651273.1, XP_046651274.1	KAI9556340.1, KAI9556336.1, KAI9556338.1, KAI9556339.1, KAI9556337.1
N0.HOG0000641	OG0000130	n1	XP_057379716.1, XP_057379693.1, XP_057379705.1, XP_057378812.1		XP_045034382.1, XP_045034388.1, XP_045022975.1, XP_045022979.1, XP_045034389.1, XP_032792211.2, XP_032792720.2, XP_045033815.1	Daphnia07970-RA	XP_046445321.1	XP_046630656.1	KAI9552431.1, KAI9552433.1, KAI9552432.1, KAI9563728.1
N0.HOG0000642	OG0000130	n19		CAH0098735.1		Daphnia13389-RA	XP_046460407.1, XP_046460912.1, XP_046460911.1	XP_046634492.1, XP_046633999.1, XP_046630655.1	KAI9551190.1, KAI9551089.1, KAI9551144.1, KAI9551111.1
N0.HOG0000643	OG0000131	n1	XP_057379749.1	CAH0102895.1, CAH0099533.1	XP_032781939.1, XP_045028341.1	Daphnia01250-RA	XP_046458617.1	XP_046647091.1	KAI9558053.1
N0.HOG0000644	OG0000131	n10	XP_057379754.1	CAH0102896.1, CAH0099535.1, CAH0102893.1	XP_032781940.2		XP_046458615.1, XP_046458614.1	XP_046647090.1, XP_046647085.1	KAI9558055.1
N0.HOG0000645	OG0000131	n19	XP_057379769.1, XP_057379753.1	CAH0101540.1	XP_032781941.2, XP_032781937.2	Daphnia01251-RA	XP_046458618.1	XP_046647099.1, XP_046647093.1, XP_046647101.1	KAI9558061.1, KAI9558058.1
N0.HOG0000646	OG0000132	n1	XP_057381334.1, XP_057381333.1	CAH0104512.1	XP_032796985.2, XP_032796983.2, XP_045035922.1, XP_045035921.1, XP_045035917.1, XP_032796986.1	Daphnia06998-RA	XP_046455632.1	XP_046656380.1	KAI9553139.1
N0.HOG0000647	OG0000132	n14		CAH0098576.1, CAH0098583.1, CAH0098575.1	XP_032795655.1	Daphnia07126-RA	XP_046454343.1, XP_046454338.1, XP_046454339.1, XP_046454405.1	XP_046654690.1, XP_046656452.1, XP_046656386.1	KAI9552867.1
N0.HOG0000648	OG0000132	n26	XP_057381192.1		XP_032795654.2		XP_046454404.1	XP_046656347.1	KAI9552865.1
N0.HOG0000649	OG0000133	n3			XP_045023924.1, XP_045023925.1, XP_045023923.1, XP_045036602.1, XP_032785572.1, XP_045028089.1, XP_045030380.1, XP_045026457.1, XP_045034717.1				KAI9555000.1, KAI9555005.1, KAI9555040.1
N0.HOG0000650	OG0000133	n15		CAH0105517.1, CAH0103857.1, CAH0103466.1, CAH0113462.1, CAH0106792.1	XP_032799122.2, XP_045023305.1, XP_045026761.1		XP_046451261.1		
N0.HOG0000651	OG0000133	n23		CAH0112243.1, CAH0098833.1, CAH0109979.1, CAH0101053.1	XP_045036636.1, XP_045022884.1, XP_045029371.1		XP_046460975.1		
N0.HOG0000652	OG0000134	n0		CAH0100772.1, CAH0100771.1, CAH0100773.1, CAH0100774.1, CAH0100770.1		Daphnia09830-RA, Daphnia09831-RA	XP_046462376.1, XP_046462581.1, XP_046462584.1, XP_046462582.1, XP_046462378.1, XP_046462247.1, XP_046462379.1, XP_046462583.1, XP_046462585.1	XP_046650640.1, XP_046654632.1, XP_046641368.1, XP_046632385.1, XP_046644818.1, XP_046640107.1, XP_046643708.1, XP_046639943.1, XP_046640145.1, XP_046644831.1, XP_046641381.1, XP_046657918.1, XP_046657312.1, XP_046640166.1, XP_046640169.1	
N0.HOG0000653	OG0000135	n0		CAH0108514.1, CAH0112800.1, CAH0103284.1, CAH0101558.1, CAH0108931.1	XP_045028564.1, XP_045033882.1, XP_045033927.1, XP_045036869.1, XP_045032645.1, XP_045023563.1, XP_045032024.1, XP_045033908.1, XP_045036708.1, XP_045027087.1, XP_045035173.1, XP_045027085.1, XP_045034645.1, XP_045034636.1, XP_045030440.1, XP_045032124.1, XP_045036881.1, XP_045024653.1, XP_045036687.1, XP_045030441.1		XP_046456362.1	XP_046632517.1, XP_046651036.1, XP_046637714.1, XP_046644478.1, XP_046651058.1	
N0.HOG0000654	OG0000136	n2		CAH0107074.1, CAH0108038.1, CAH0103582.1, CAH0110840.1	XP_045030832.1, XP_045029468.1	Daphnia08912-RA, Daphnia07891-RA, Daphnia07860-RA, Daphnia01757-RA, Daphnia04123-RA, Daphnia07861-RA, Daphnia02222-RA	XP_046445266.1	XP_046638313.1, XP_046638315.1, XP_046638316.1, XP_046639789.1, XP_046639788.1, XP_046646167.1, XP_046638444.1	
N0.HOG0000655	OG0000136	n22		CAH0112631.1, CAH0103520.1, CAH0101755.1	XP_032798427.2, XP_045025117.1, XP_045032333.1		XP_046458793.1		
N0.HOG0000656	OG0000136	n28		CAH0105776.1	XP_045034739.1				KAI9564883.1
N0.HOG0000657	OG0000137	n0					XP_046449262.1	XP_046641940.1, XP_046641948.1, XP_046641947.1, XP_046641938.1, XP_046641939.1, XP_046641937.1, XP_046641952.1, XP_046641957.1, XP_046641951.1, XP_046641949.1, XP_046641953.1, XP_046641956.1, XP_046641950.1, XP_046641954.1, XP_046641983.1, XP_046641984.1, XP_046641982.1, XP_046641981.1, XP_046641974.1, XP_046641976.1, XP_046641972.1, XP_046641973.1, XP_046641980.1, XP_046641975.1, XP_046641979.1, XP_046641978.1, XP_046642120.1, XP_046645409.1, XP_046636749.1, XP_046656407.1	
N0.HOG0000658	OG0000138	n0	XP_057365357.1, XP_057377836.1, XP_057377837.1, XP_057365415.1	CAH0101310.1	XP_032793653.2, XP_045024177.1, XP_045024197.1, XP_045024188.1, XP_045024169.1, XP_045024176.1, XP_045024200.1, XP_045024171.1, XP_045024189.1, XP_045024204.1, XP_045024178.1, XP_045024193.1, XP_045024181.1, XP_045024182.1	Daphnia00788-RA	XP_046456827.1, XP_046458710.1, XP_046458711.1, XP_046458712.1	XP_046646371.1, XP_046638233.1, XP_046638268.1, XP_046638269.1	KAI9559906.1, KAI9559929.1
N0.HOG0000659	OG0000139	n0	XP_057380783.1, XP_057369839.1, XP_057376192.1, XP_057366213.1, XP_057368305.1		XP_045036140.1, XP_045036130.1, XP_045036139.1, XP_045036137.1, XP_045036128.1, XP_045036132.1, XP_045036129.1, XP_045036142.1, XP_045036138.1, XP_045036133.1, XP_045036131.1, XP_045036141.1, XP_045023030.1, XP_045023967.1, XP_045032617.1, XP_045027982.1, XP_045023685.1, XP_045036136.1, XP_045036134.1, XP_045024093.1, XP_045023084.1, XP_045025217.1, XP_045032633.1, XP_045030426.1				KAI9552528.1
N0.HOG0000660	OG0000140	n1	XP_057376595.1	CAH0102986.1, CAH0102987.1, CAH0102988.1, CAH0102991.1	XP_032789598.1	Daphnia05263-RA	XP_046448183.1, XP_046448182.1	XP_046641058.1	KAI9563660.1
N0.HOG0000661	OG0000140	n14		CAH0102985.1	XP_032790011.2		XP_046448178.1		KAI9563465.1
N0.HOG0000662	OG0000140	n18	XP_057368227.1	CAH0101929.1		Daphnia05057-RA	XP_046448623.1, XP_046448622.1	XP_046641073.1, XP_046641072.1, XP_046641071.1	KAI9563009.1
N0.HOG0000663	OG0000140	n26	XP_057376859.1	CAH0104482.1, CAH0106923.1					KAI9563466.1
N0.HOG0000664	OG0000141	n2			XP_045025183.1, XP_045027142.1		XP_046452738.1	XP_046646461.1	
N0.HOG0000665	OG0000141	n9			XP_045023177.1			XP_046647671.1	
N0.HOG0000666	OG0000141	n10			XP_045023878.1			XP_046654298.1	
N0.HOG0000667	OG0000141	n11			XP_032798493.2, XP_045034372.1		XP_046461178.1	XP_046651083.1, XP_046654920.1, XP_046654936.1, XP_046649256.1	KAI9565180.1
N0.HOG0000668	OG0000141	n18			XP_045033915.1, XP_045023917.1, XP_045023793.1, XP_045023107.1, XP_045025127.1		XP_046441288.1		
N0.HOG0000669	OG0000141	n25		CAH0102791.1	XP_045035111.1, XP_045031521.1		XP_046449296.1		
N0.HOG0000670	OG0000141	n28		CAH0109788.1	XP_045022981.1				
N0.HOG0000671	OG0000142	n1	XP_057368458.1	CAH0103415.1, CAH0103418.1, CAH0103434.1, CAH0108563.1, CAH0103548.1, CAH0103417.1, CAH0105847.1, CAH0111099.1	XP_032797787.2, XP_032784075.1		XP_046454788.1, XP_046447764.1, XP_046450481.1	XP_046637715.1, XP_046636951.1, XP_046638613.1	KAI9559360.1
N0.HOG0000672	OG0000142	n18		CAH0099350.1, CAH0103433.1, CAH0101909.1, CAH0108798.1, CAH0103547.1, CAH0101589.1			XP_046450217.1, XP_046461208.1, XP_046452770.1	XP_046636959.1, XP_046640252.1	KAI9555017.1
N0.HOG0000673	OG0000143	n2	XP_057372014.1					XP_046633863.1	KAI9561417.1
N0.HOG0000674	OG0000143	n4	XP_057372019.1, XP_057372020.1, XP_057372015.1, XP_057372017.1, XP_057372016.1		XP_032781465.2, XP_032781588.2	Daphnia13480-RB	XP_046460898.1, XP_046460897.1, XP_046460901.1, XP_046460900.1	XP_046633881.1	KAI9561416.1, KAI9561415.1
N0.HOG0000675	OG0000143	n19			XP_032781693.2		XP_046460722.1	XP_046633910.1	KAI9561428.1
N0.HOG0000676	OG0000143	n22		CAH0109544.1	XP_045023320.1		XP_046460717.1	XP_046633832.1, XP_046633833.1, XP_046633834.1, XP_046633835.1	KAI9561429.1
N0.HOG0000677	OG0000144	n0	XP_057372305.1	CAH0099689.1	XP_045025026.1, XP_045025032.1, XP_045025031.1, XP_045025030.1, XP_045025028.1, XP_045025029.1, XP_045025025.1, XP_045025027.1, XP_045025024.1	Daphnia12683-RA	XP_046446969.1, XP_046446967.1, XP_046446972.1, XP_046446973.1, XP_046446971.1, XP_046446975.1, XP_046446974.1, XP_046446968.1, XP_046446966.1	XP_046634637.1, XP_046634634.1, XP_046634633.1, XP_046634632.1, XP_046634629.1, XP_046634630.1, XP_046634635.1, XP_046634636.1	KAI9565684.1
N0.HOG0000678	OG0000145	n0	XP_057374802.1, XP_057374803.1	CAH0110221.1	XP_045026892.1, XP_045026894.1, XP_045026896.1, XP_045026895.1, XP_045026897.1, XP_045026893.1		XP_046437631.1, XP_046437632.1, XP_046437626.1, XP_046437629.1, XP_046437623.1, XP_046437630.1, XP_046437628.1, XP_046437625.1, XP_046437627.1, XP_046437624.1, XP_046437622.1	XP_046653953.1, XP_046653961.1, XP_046653956.1, XP_046653960.1, XP_046653959.1, XP_046653957.1, XP_046653955.1, XP_046653958.1, XP_046653954.1	KAI9556171.1
N0.HOG0000679	OG0000146	n0	XP_057377921.1, XP_057376132.1, XP_057381795.1, XP_057377365.1, XP_057379871.1, XP_057377943.1, XP_057377942.1		XP_045035892.1, XP_045026337.1, XP_045031908.1, XP_045036684.1, XP_032799158.2, XP_045023060.1, XP_045027103.1, XP_032796115.2, XP_045031058.1, XP_045028397.1, XP_045030988.1, XP_045023366.1, XP_045032722.1, XP_045031001.1, XP_045036705.1, XP_045026266.1, XP_045036704.1, XP_045031860.1, XP_045023931.1, XP_045026644.1, XP_045023929.1				KAI9556059.1, KAI9555910.1
N0.HOG0000680	OG0000147	n1		CAH0112717.1, CAH0100491.1, CAH0104289.1, CAH0105933.1, CAH0103898.1, CAH0108533.1, CAH0105083.1, CAH0105932.1, CAH0104288.1, CAH0112718.1	XP_045032960.1, XP_045035982.1, XP_045035969.1, XP_045032964.1, XP_032782606.2, XP_032798914.2			XP_046639982.1	KAI9554997.1
N0.HOG0000681	OG0000147	n18		CAH0112719.1, CAH0102034.1, CAH0102860.1, CAH0102448.1, CAH0102049.1, CAH0102857.1, CAH0111997.1, CAH0109970.1, CAH0102039.1	XP_045023769.1	Daphnia13490-RA			KAI9565226.1
N0.HOG0000682	OG0000148	n0	XP_057367405.1, XP_057367404.1	CAH0111174.1	XP_045032264.1, XP_045032274.1, XP_045032277.1, XP_045032256.1, XP_045032261.1, XP_045032276.1, XP_045032266.1, XP_045032258.1, XP_045032269.1, XP_045032273.1, XP_045032263.1, XP_045032257.1, XP_045032267.1, XP_045032262.1, XP_045032259.1, XP_045032260.1, XP_045032271.1, XP_045032268.1, XP_045032265.1, XP_045032270.1, XP_045032272.1, XP_045032275.1	Daphnia04956-RA	XP_046447800.1	XP_046636694.1	KAI9562599.1
N0.HOG0000683	OG0000149	n0	XP_057369470.1, XP_057369469.1, XP_057369468.1, XP_057369471.1, XP_057369472.1	CAH0103132.1	XP_045028474.1, XP_032783819.2, XP_045028473.1, XP_045028472.1	Daphnia00605-RA, Daphnia04835-RA, Daphnia04836-RB, Daphnia04986-RA	XP_046458949.1, XP_046449251.1, XP_046449641.1, XP_046450712.1, XP_046450755.1	XP_046638117.1, XP_046642166.1, XP_046642164.1, XP_046642211.1, XP_046642134.1, XP_046642264.1, XP_046637140.1, XP_046637696.1, XP_046642155.1	KAI9558862.1
N0.HOG0000684	OG0000150	n1	XP_057371562.1	CAH0104064.1	XP_032777538.2	Daphnia11176-RA		XP_046650230.1	KAI9564204.1
N0.HOG0000685	OG0000150	n7	XP_057370234.1, XP_057371592.1	CAH0104065.1		Daphnia11177-RA		XP_046650227.1	KAI9551252.1, KAI9551270.1, KAI9564205.1
N0.HOG0000686	OG0000150	n14	XP_057371591.1	CAH0109006.1, CAH0104070.1, CAH0104066.1		Daphnia00417-RA	XP_046456695.1, XP_046456699.1, XP_046456696.1, XP_046456697.1, XP_046456698.1	XP_046646162.1, XP_046646159.1, XP_046646161.1, XP_046650237.1	KAI9564206.1
N0.HOG0000687	OG0000151	n0	XP_057375895.1, XP_057375872.1, XP_057375885.1, XP_057375860.1		XP_045025515.1, XP_032776851.2, XP_045026135.1, XP_032776853.1, XP_032776852.1, XP_045026137.1		XP_046462974.1, XP_046462139.1, XP_046446393.1, XP_046446392.1	XP_046657035.1, XP_046657043.1, XP_046657042.1, XP_046657032.1, XP_046657036.1, XP_046657038.1, XP_046657034.1, XP_046657046.1, XP_046657031.1, XP_046635346.1, XP_046635347.1, XP_046635383.1	KAI9565603.1, KAI9565611.1, KAI9565610.1
N0.HOG0000688	OG0000152	n1	XP_057376105.1, XP_057376104.1, XP_057376107.1, XP_057376106.1	CAH0107188.1	XP_032786034.2		XP_046453451.1	XP_046650005.1	KAI9554611.1
N0.HOG0000689	OG0000152	n10	XP_057376108.1		XP_032786033.2		XP_046453469.1	XP_046651803.1	KAI9554641.1
N0.HOG0000690	OG0000152	n14	XP_057376102.1	CAH0107178.1	XP_032786410.2	Daphnia02916-RC	XP_046453467.1, XP_046453470.1, XP_046453471.1	XP_046651976.1, XP_046640347.1, XP_046640346.1, XP_046650035.1, XP_046650033.1, XP_046651806.1, XP_046651805.1	KAI9554620.1
N0.HOG0000691	OG0000153	n0	XP_057380581.1	CAH0103183.1, CAH0112871.1, CAH0100016.1, CAH0103684.1	XP_045029530.1, XP_045029529.1, XP_045029532.1, XP_045029531.1	Daphnia00802-RA, Daphnia09141-RA, Daphnia09128-RA, Daphnia05257-RB	XP_046462732.1, XP_046448194.1	XP_046637798.1, XP_046637799.1, XP_046655808.1, XP_046655531.1, XP_046641248.1, XP_046641251.1, XP_046641245.1, XP_046641247.1, XP_046641243.1, XP_046641249.1, XP_046641242.1, XP_046641241.1, XP_046641250.1, XP_046641246.1	
